latitude,longitude,place_name,country_code,timezone
-27.50578,153.10236,Carindale,AU,Australia/Brisbane
53.59337,9.47629,Stade,DE,Europe/Berlin
45.9836,12.70038,Cordenons,IT,Europe/Rome
40.11583,67.84222,Jizzax,UZ,Asia/Samarkand
10.22677,-67.33122,La Victoria,VE,America/Caracas
28.54944,-81.77285,Clermont,US,America/New_York
47.76232,-122.2054,Bothell,US,America/Los_Angeles
4.88441,101.96857,Gua Musang,MY,Asia/Kuala_Lumpur
37.49223,15.07041,Catania,IT,Europe/Rome
-21.15,46.58333,Ikalamavony,MG,Indian/Antananarivo
51.14942,15.00835,Zgorzelec,PL,Europe/Warsaw
-7.0981,109.3243,Randudongkal,ID,Asia/Jakarta
-44.39672,171.25364,Timaru,NZ,Pacific/Auckland
33.44872,-86.78777,Vestavia Hills,US,America/Chicago
8.88988,-79.62603,Veracruz,PA,America/Panama
39.45621,-77.96389,Martinsburg,US,America/New_York
42.4251,-71.06616,Malden,US,America/New_York
41.9001,-71.08977,Taunton,US,America/New_York
-10.91722,-37.65,Lagarto,BR,America/Maceio
43.50891,16.43915,Split,HR,Europe/Zagreb
57.97472,33.2525,Valday,RU,Europe/Moscow
-28.24,-48.67028,Imbituba,BR,America/Sao_Paulo
51.78771,56.36091,Saraktash,RU,Asia/Yekaterinburg
44.43579,26.01649,Sector 6,RO,Europe/Bucharest
23.18,88.58,Aistala,IN,Asia/Kolkata
41.16704,-73.20483,Bridgeport,US,America/New_York
40.66482,122.22833,Yingkou,CN,Asia/Shanghai
6.95194,121.96361,Recodo,PH,Asia/Manila
5.27247,-3.59625,Bonoua,CI,Africa/Abidjan
-22.9,44.53333,Sakaraha,MG,Indian/Antananarivo
-31.95224,115.8614,Perth,AU,Australia/Perth
51.84819,1.26738,Walton-on-the-Naze,GB,Europe/London
51.88333,8.51667,Verl,DE,Europe/Berlin
31.96258,73.97117,Naushahra Virkan,PK,Asia/Karachi
51.26,-2.1875,Westbury,GB,Europe/London
37.19723,122.05228,Tianfu,CN,Asia/Shanghai
37.30553,120.82747,Zhuangyuan,CN,Asia/Shanghai
51.78771,56.36091,Saraktash,RU,Asia/Yekaterinburg
17.30858,97.01124,Kyaikto,MM,Asia/Yangon
5.6561,-75.87877,Andes,CO,America/Bogota
38.10558,-1.86343,Caravaca,ES,Europe/Madrid
56.11281,69.49015,Ishim,RU,Asia/Yekaterinburg
14.8361,120.97844,Guyong,PH,Asia/Manila
23.9028,89.11943,Kushtia,BD,Asia/Dhaka
54.84444,38.16694,Kashira,RU,Europe/Moscow
-26.22861,-52.67056,Pato Branco,BR,America/Sao_Paulo
40.37528,28.88222,Mudanya,TR,Europe/Istanbul
-6.48167,106.85417,Cibinong,ID,Asia/Jakarta
33.86419,48.26258,Aleshtar,IR,Asia/Tehran
41.6764,-91.58045,Coralville,US,America/Chicago
24.41288,76.56719,Aklera,IN,Asia/Kolkata
-22.9,44.53333,Sakaraha,MG,Indian/Antananarivo
11.85,38.01667,Debre Tabor,ET,Africa/Addis_Ababa
55.38752,36.73307,Naro-Fominsk,RU,Europe/Moscow
19.8173,-97.35992,Teziutlan,MX,America/Mexico_City
39.43534,-84.20299,Lebanon,US,America/New_York
40.93333,73,Jalal-Abad,KG,Asia/Bishkek
-7.57897,112.23109,Diwek,ID,Asia/Jakarta
40.85158,122.74754,Haicheng,CN,Asia/Shanghai
11.85,38.01667,Debre Tabor,ET,Africa/Addis_Ababa
6.46838,-73.26022,Socorro,CO,America/Bogota
51.21667,6.26667,Schwalmtal,DE,Europe/Berlin
40.78206,72.34424,Andijon,UZ,Asia/Tashkent
-31.25033,-61.4867,Rafaela,AR,America/Argentina/Cordoba
47.64995,-117.23991,Opportunity,US,America/Los_Angeles
51.62907,-0.74934,High Wycombe,GB,Europe/London
36.02506,-86.77917,Brentwood Estates,US,America/Chicago
51.62907,-0.74934,High Wycombe,GB,Europe/London
61.72744,17.10558,Hudiksvall,SE,Europe/Stockholm
45.75279,130.57211,Boli,CN,Asia/Shanghai
21.59983,71.21169,Amreli,IN,Asia/Kolkata
1.6,103.81667,Ulu Tiram,MY,Asia/Kuala_Lumpur
48.77644,2.29026,Sceaux,FR,Europe/Paris
34.21639,-119.0376,Camarillo,US,America/Los_Angeles
16.455,120.5875,La Trinidad,PH,Asia/Manila
40.94065,-73.99681,Dumont,US,America/New_York
43.32393,5.4584,Les Olives,FR,Europe/Paris
-7.73379,113.69785,Besuki,ID,Asia/Jakarta
45.75279,130.57211,Boli,CN,Asia/Shanghai
10.29085,105.75635,Sa Dec,VN,Asia/Ho_Chi_Minh
40.94065,-73.99681,Dumont,US,America/New_York
10.12268,77.54372,Periyakulam,IN,Asia/Kolkata
47.38093,-122.23484,Kent,US,America/Los_Angeles
44.31771,9.32241,Chiavari,IT,Europe/Rome
32.44874,-99.73314,Abilene,US,America/Chicago
3.11988,35.59642,Lodwar,KE,Africa/Nairobi
49.03685,8.70745,Bretten,DE,Europe/Berlin
-20.88231,55.4504,Saint-Denis,RE,Indian/Reunion
-19.32556,-41.25528,Resplendor,BR,America/Sao_Paulo
50.72043,11.34046,Rudolstadt,DE,Europe/Berlin
47.83333,59.6,Shalqar,KZ,Asia/Aqtobe
48.52961,12.16179,Landshut,DE,Europe/Berlin
41.91738,3.1631,Palafrugell,ES,Europe/Madrid
18.87813,72.93924,Uran,IN,Asia/Kolkata
-21.205,-41.88778,Itaperuna,BR,America/Sao_Paulo
-13.7804,34.4587,Salima,MW,Africa/Blantyre
34.75856,136.13108,Ueno-ebisumachi,JP,Asia/Tokyo
37.16911,10.03478,El Alia,TN,Africa/Tunis
29.69221,72.54566,Hasilpur,PK,Asia/Karachi
9.91861,-68.30472,Tinaquillo,VE,America/Caracas
65.93381,111.4834,Aykhal,RU,Asia/Yakutsk
55.82737,-4.0573,Viewpark,GB,Europe/London
45.50369,11.412,Montecchio Maggiore-Alte Ceccato,IT,Europe/Rome
25.95533,68.88871,Jhol,PK,Asia/Karachi
30.5427,-97.54667,Hutto,US,America/Chicago
-11.48472,-37.93278,Rio Real,BR,America/Bahia
51.65,-0.2,Barnet,GB,Europe/London
37.73604,-120.93549,Riverbank,US,America/Los_Angeles
21.34222,71.30633,Kundla,IN,Asia/Kolkata
43.61062,-72.97261,Rutland,US,America/New_York
47.83333,59.6,Shalqar,KZ,Asia/Aqtobe
41.84364,-87.71255,South Lawndale,US,America/Chicago
36,139.55722,Okegawa,JP,Asia/Tokyo
41.09822,120.74792,Nanpiao,CN,Asia/Shanghai
54.52156,9.5586,Schleswig,DE,Europe/Berlin
52.61131,13.31783,Hermsdorf,DE,Europe/Berlin
43.71032,-1.05366,Dax,FR,Europe/Paris
45.99194,29.41824,Artsyz,UA,Europe/Kiev
55.85,37.56667,Likhobory,RU,Europe/Moscow
40.57788,-73.95958,Brighton Beach,US,America/New_York
36.72544,3.55665,Thenia,DZ,Africa/Algiers
22.98212,-80.58556,Corralillo,CU,America/Havana
40.11583,67.84222,Jizzax,UZ,Asia/Samarkand
55.39485,43.83992,Arzamas,RU,Europe/Moscow
17.06542,-96.72365,Oaxaca,MX,America/Mexico_City
-20.25333,-43.80139,Itabirito,BR,America/Sao_Paulo
33.78333,114.51667,Wacheng,CN,Asia/Shanghai
44.80477,-0.59543,Talence,FR,Europe/Paris
47.76232,-122.2054,Bothell,US,America/Los_Angeles
1.6,103.81667,Ulu Tiram,MY,Asia/Kuala_Lumpur
14.66,120.56528,Pilar,PH,Asia/Manila
14.93333,-91.11667,Chichicastenango,GT,America/Guatemala
13.65805,102.56365,Paoy Paet,KH,Asia/Phnom_Penh
37.30553,120.82747,Zhuangyuan,CN,Asia/Shanghai
51.21667,6.26667,Schwalmtal,DE,Europe/Berlin
14.37395,100.48528,Bang Ban,TH,Asia/Bangkok
36.61954,4.08282,Beni Douala,DZ,Africa/Algiers
35.6803,51.0193,Shahre Jadide Andisheh,IR,Asia/Tehran
32.35126,-95.30106,Tyler,US,America/Chicago
43.86682,-79.2663,Markham,CA,America/Toronto
-1.63333,13.58357,Franceville,GA,Africa/Libreville
18.87813,72.93924,Uran,IN,Asia/Kolkata
41.80753,-87.65644,New City,US,America/Chicago
23.73333,114.68333,Heyuan,CN,Asia/Shanghai
0.49113,29.47306,Beni,CD,Africa/Lubumbashi
5.30383,-1.98956,Tarkwa,GH,Africa/Accra
48.25,16.4,Floridsdorf,AT,Europe/Vienna
-8.99167,125.21972,Maliana,TL,Asia/Dili
37.60876,-77.37331,Mechanicsville,US,America/New_York
-8.99167,125.21972,Maliana,TL,Asia/Dili
-54.8,-68.3,Ushuaia,AR,America/Argentina/Ushuaia
32.54278,111.50861,Danjiangkou,CN,Asia/Shanghai
-33.79176,151.08057,Eastwood,AU,Australia/Sydney
39.57582,-105.11221,Ken Caryl,US,America/Denver
9.91861,-68.30472,Tinaquillo,VE,America/Caracas
11.84962,-86.19903,Jinotepe,NI,America/Managua
27.9247,78.40102,Chharra,IN,Asia/Kolkata
36.20389,127.08472,Nonsan,KR,Asia/Seoul
-7.76667,35.7,Iringa,TZ,Africa/Dar_es_Salaam
40.1675,34.37389,Sungurlu,TR,Europe/Istanbul
34.25807,-88.70464,Tupelo,US,America/Chicago
15.5439,73.7553,Calangute,IN,Asia/Kolkata
40.68066,-73.47429,Massapequa,US,America/New_York
1.6561,103.6032,Kulai,MY,Asia/Kuala_Lumpur
-7.76667,35.7,Iringa,TZ,Africa/Dar_es_Salaam
30.16688,-96.39774,Brenham,US,America/Chicago
36.33011,138.89585,Annaka,JP,Asia/Tokyo
28.98002,77.70636,Meerut,IN,Asia/Kolkata
24.96334,10.18003,Ghat,LY,Africa/Tripoli
52.4581,13.28702,Dahlem,DE,Europe/Berlin
50.50301,13.63617,Most,CZ,Europe/Prague
-3.5403,118.9707,Majene,ID,Asia/Makassar
-32.45242,-71.23106,La Ligua,CL,America/Santiago
11.8659,34.3869,Ar Ruseris,SD,Africa/Khartoum
12.97389,123.99333,Sorsogon,PH,Asia/Manila
36.76639,3.47717,Boumerdas,DZ,Africa/Algiers
53.0233,-1.48119,Belper,GB,Europe/London
51.12794,4.21372,Temse,BE,Europe/Brussels
-10.90889,-37.03861,Barra dos Coqueiros,BR,America/Maceio
47.83333,59.6,Shalqar,KZ,Asia/Aqtobe
39.43534,-84.20299,Lebanon,US,America/New_York
15.73628,75.96976,Gajendragarh,IN,Asia/Kolkata
33.03699,-117.29198,Encinitas,US,America/Los_Angeles
3.27833,32.88667,Kitgum,UG,Africa/Kampala
42,21.32778,Saraj,MK,Europe/Skopje
53.6052,10.03988,Barmbek-Nord,DE,Europe/Berlin
36.92574,14.72443,Ragusa,IT,Europe/Rome
50.23805,8.86704,Nidderau,DE,Europe/Berlin
41.24264,16.50104,Bisceglie,IT,Europe/Rome
42.97086,-82.42491,Port Huron,US,America/Detroit
40.93121,-73.89875,Yonkers,US,America/New_York
45.49428,-122.86705,Aloha,US,America/Los_Angeles
32.87533,71.57118,Daud Khel,PK,Asia/Karachi
-54.8,-68.3,Ushuaia,AR,America/Argentina/Ushuaia
23.18,88.58,Aistala,IN,Asia/Kolkata
-7.51611,109.05389,Wangon,ID,Asia/Jakarta
-22.53722,-42.98194,Guapimirim,BR,America/Sao_Paulo
0.76755,24.43973,Yangambi,CD,Africa/Lubumbashi
37.19723,122.05228,Tianfu,CN,Asia/Shanghai
43.83125,5.03586,Cavaillon,FR,Europe/Paris
30.17746,-81.38758,Palm Valley,US,America/New_York
14.46693,75.92694,Davangere,IN,Asia/Kolkata
37.35813,-6.03731,San Juan de Aznalfarache,ES,Europe/Madrid
5.90702,116.10146,Donggongon,MY,Asia/Kuching
16.0438,120.4861,Manaoag,PH,Asia/Manila
51.35084,-1.99421,Devizes,GB,Europe/London
50.72043,11.34046,Rudolstadt,DE,Europe/Berlin
19.04222,-98.11889,Casa Blanca,MX,America/Mexico_City
43.32393,5.4584,Les Olives,FR,Europe/Paris
49.65186,26.97253,Krasyliv,UA,Europe/Kiev
53.5942,25.8191,Novogrudok,BY,Europe/Minsk
-3.5403,118.9707,Majene,ID,Asia/Makassar
36,139.55722,Okegawa,JP,Asia/Tokyo
37.56667,140.11667,Inawashiro,JP,Asia/Tokyo
34.85,117.33333,Taozhuang,CN,Asia/Shanghai
27.85,112.9,Xiangtan,CN,Asia/Shanghai
31.64615,120.74221,Changshu City,CN,Asia/Shanghai
-22.57306,-47.1725,Artur Nogueira,BR,America/Sao_Paulo
44.35056,142.45778,Nayoro,JP,Asia/Tokyo
51.168,7.973,Finnentrop,DE,Europe/Berlin
-21.15,46.58333,Ikalamavony,MG,Indian/Antananarivo
-11.48472,-37.93278,Rio Real,BR,America/Bahia
32.54044,-82.90375,Dublin,US,America/New_York
33.3213,130.94098,Hita,JP,Asia/Tokyo
40.34912,-111.90466,Saratoga Springs,US,America/Denver
51.955,5.22778,Culemborg,NL,Europe/Amsterdam
10.61285,12.19458,Biu,NG,Africa/Lagos
37.13548,-3.67029,Las Gabias,ES,Europe/Madrid
53.43333,-7.95,Athlone,IE,Europe/Dublin
51.4781,57.3552,Kuvandyk,RU,Asia/Yekaterinburg
41.14676,-73.49484,New Canaan,US,America/New_York
41.50343,-74.01042,Newburgh,US,America/New_York
4.92675,6.26764,Yenagoa,NG,Africa/Lagos
-6.8048,110.8405,Kudus,ID,Asia/Jakarta
5.4709,100.24529,Batu Feringgi,MY,Asia/Kuala_Lumpur
26.2173,-80.22588,North Lauderdale,US,America/New_York
18.20854,-71.10077,Santa Cruz de Barahona,DO,America/Santo_Domingo
13.70167,-89.10944,Ilopango,SV,America/El_Salvador
-36.9256,-73.02841,Chiguayante,CL,America/Santiago
36.81667,117.81667,Zhoucun,CN,Asia/Shanghai
55.39485,43.83992,Arzamas,RU,Europe/Moscow
37.49073,-2.77259,Baza,ES,Europe/Madrid
52.14,5.58472,Barneveld,NL,Europe/Amsterdam
40.58654,-122.39168,Redding,US,America/Los_Angeles
34.25807,-88.70464,Tupelo,US,America/Chicago
42.35843,-71.05977,Boston,US,America/New_York
51.04962,12.1369,Zeitz,DE,Europe/Berlin
39.32288,-76.72803,Woodlawn,US,America/New_York
21.59983,71.21169,Amreli,IN,Asia/Kolkata
43.67681,4.63031,Arles,FR,Europe/Paris
12.95629,78.27539,Robertsonpet,IN,Asia/Kolkata
36.02506,-86.77917,Brentwood Estates,US,America/Chicago
50.75767,-1.5443,Lymington,GB,Europe/London
41.66394,-83.55521,Toledo,US,America/New_York
41.63976,2.35739,Cardedeu,ES,Europe/Madrid
10.12268,77.54372,Periyakulam,IN,Asia/Kolkata
48.35149,8.96317,Hechingen,DE,Europe/Berlin
-10.95817,-38.79084,Tucano,BR,America/Bahia
-6.91806,106.92667,Sukabumi,ID,Asia/Jakarta
-4.24444,-42.29444,Barras,BR,America/Fortaleza
2.41669,30.98551,Paidha,UG,Africa/Kampala
60.2052,24.6522,Espoo,FI,Europe/Helsinki
40.34912,-111.90466,Saratoga Springs,US,America/Denver
43.71032,-1.05366,Dax,FR,Europe/Paris
-44.39672,171.25364,Timaru,NZ,Pacific/Auckland
22.10194,85.37752,Barbil,IN,Asia/Kolkata
24.05979,77.40858,Leteri,IN,Asia/Kolkata
41.92361,20.91361,Bogovinje,MK,Europe/Skopje
-31.95224,115.8614,Perth,AU,Australia/Perth
34.9,137.5,Shinshiro,JP,Asia/Tokyo
18.18158,76.03889,Osmanabad,IN,Asia/Kolkata
41.92361,20.91361,Bogovinje,MK,Europe/Skopje
-27.76952,30.79165,Vryheid,ZA,Africa/Johannesburg
47.90771,106.88324,Ulan Bator,MN,Asia/Ulaanbaatar
40.63316,-74.13653,Port Richmond,US,America/New_York
-29.2975,-51.50361,Carlos Barbosa,BR,America/Sao_Paulo
51.65333,5.2875,Vught,NL,Europe/Amsterdam
3.11988,35.59642,Lodwar,KE,Africa/Nairobi
51.95838,4.47124,Schiebroek,NL,Europe/Amsterdam
50.11861,-5.53715,Penzance,GB,Europe/London
52.61131,13.31783,Hermsdorf,DE,Europe/Berlin
47.98372,10.18527,Memmingen,DE,Europe/Berlin
41.24264,16.50104,Bisceglie,IT,Europe/Rome
24.96334,10.18003,Ghat,LY,Africa/Tripoli
39.33427,-76.43941,Middle River,US,America/New_York
11.15583,42.7125,'Ali Sabieh,DJ,Africa/Djibouti
48.77644,2.29026,Sceaux,FR,Europe/Paris
52.48173,-2.12139,Brierley Hill,GB,Europe/London
50.11861,-5.53715,Penzance,GB,Europe/London
-1.26424,104.09701,Simpang,ID,Asia/Jakarta
41.80753,-87.65644,New City,US,America/Chicago
42.52787,-70.92866,Peabody,US,America/New_York
17.94979,-94.91386,Acayucan,MX,America/Mexico_City
16.455,120.5875,La Trinidad,PH,Asia/Manila
34.15429,3.50309,Messaad,DZ,Africa/Algiers
51.95838,4.47124,Schiebroek,NL,Europe/Amsterdam
23.73333,114.68333,Heyuan,CN,Asia/Shanghai
51.26,-2.1875,Westbury,GB,Europe/London
-19.32556,-41.25528,Resplendor,BR,America/Sao_Paulo
34.09668,-117.71978,Claremont,US,America/Los_Angeles
15.46063,99.89166,Thap Than,TH,Asia/Bangkok
36.61954,4.08282,Beni Douala,DZ,Africa/Algiers
-10.90889,-37.03861,Barra dos Coqueiros,BR,America/Maceio
47.90771,106.88324,Ulan Bator,MN,Asia/Ulaanbaatar
40.24537,-75.64963,Pottstown,US,America/New_York
57.47908,-4.22398,Inverness,GB,Europe/London
47.30997,8.52462,Adliswil,CH,Europe/Zurich
9.6531,124.3697,Jagna,PH,Asia/Manila
48.49144,9.20427,Reutlingen,DE,Europe/Berlin
52.71083,5.74861,Emmeloord,NL,Europe/Amsterdam
50.82882,-0.32247,Lancing,GB,Europe/London
20.74122,-100.44843,Santa Rosa Jauregui,MX,America/Mexico_City
52.48173,-2.12139,Brierley Hill,GB,Europe/London
11.85,38.01667,Debre Tabor,ET,Africa/Addis_Ababa
-7.73379,113.69785,Besuki,ID,Asia/Jakarta
35.48199,137.02166,Minokamo,JP,Asia/Tokyo
12.25282,79.41727,Gingee,IN,Asia/Kolkata
43.82634,144.09638,Motomachi,JP,Asia/Tokyo
12.74482,4.52514,Argungu,NG,Africa/Lagos
5.27247,-3.59625,Bonoua,CI,Africa/Abidjan
41.8542,-87.66561,Lower West Side,US,America/Chicago
9.57046,76.32756,Kalavoor,IN,Asia/Kolkata
44.99012,-123.02621,Keizer,US,America/Los_Angeles
6.46838,-73.26022,Socorro,CO,America/Bogota
35.8,137.23333,Gero,JP,Asia/Tokyo
-4.24444,-42.29444,Barras,BR,America/Fortaleza
36.61954,4.08282,Beni Douala,DZ,Africa/Algiers
48.86667,2.08333,Marly-le-Roi,FR,Europe/Paris
40.64621,-73.97069,Kensington,US,America/New_York
41.09822,120.74792,Nanpiao,CN,Asia/Shanghai
51.84819,1.26738,Walton-on-the-Naze,GB,Europe/London
-37.88333,145.06667,Carnegie,AU,Australia/Melbourne
-22.45667,-47.53028,Santa Gertrudes,BR,America/Sao_Paulo
36.64852,51.49621,Nowshahr,IR,Asia/Tehran
55.54028,89.20083,Sharypovo,RU,Asia/Krasnoyarsk
40.1675,34.37389,Sungurlu,TR,Europe/Istanbul
-25.42778,-49.27306,Curitiba,BR,America/Sao_Paulo
34.9,137.5,Shinshiro,JP,Asia/Tokyo
13.70727,9.15013,Mirriah,NE,Africa/Niamey
47.90771,106.88324,Ulan Bator,MN,Asia/Ulaanbaatar
-33.79176,151.08057,Eastwood,AU,Australia/Sydney
54.52156,9.5586,Schleswig,DE,Europe/Berlin
-11.78333,19.91667,Luena,AO,Africa/Luanda
48.79325,2.29275,Fontenay-aux-Roses,FR,Europe/Paris
36.21544,65.93249,Sar-e Pul,AF,Asia/Kabul
34.5624,38.28402,Tadmur,SY,Asia/Damascus
48.90472,2.2469,La Garenne-Colombes,FR,Europe/Paris
55.8736,85.4265,Yashkino,RU,Asia/Novokuznetsk
11.8659,34.3869,Ar Ruseris,SD,Africa/Khartoum
51.04962,12.1369,Zeitz,DE,Europe/Berlin
48.90472,2.2469,La Garenne-Colombes,FR,Europe/Paris
42.819,47.1192,Buynaksk,RU,Europe/Moscow
45.53069,9.40531,Gorgonzola,IT,Europe/Rome
19.32889,-99.32556,San Lorenzo Acopilco,MX,America/Mexico_City
-21.98333,16.91667,Okahandja,NA,Africa/Windhoek
27.85,112.9,Xiangtan,CN,Asia/Shanghai
-26.93366,29.24152,Standerton,ZA,Africa/Johannesburg
41.72063,12.6723,Ariccia,IT,Europe/Rome
53.94313,10.30215,Bad Segeberg,DE,Europe/Berlin
13.48082,-86.58208,Somoto,NI,America/Managua
10.10649,76.35484,Alwaye,IN,Asia/Kolkata
25.87972,-97.50417,Heroica Matamoros,MX,America/Matamoros
14.95472,120.89694,Baliuag,PH,Asia/Manila
30.29184,71.67164,Qadirpur Ran,PK,Asia/Karachi
55.64776,38.02486,Malakhovka,RU,Europe/Moscow
44.92801,4.8951,Valence,FR,Europe/Paris
45.0408,-93.263,Columbia Heights,US,America/Chicago
-14.66463,-52.35558,Nova Xavantina,BR,America/Cuiaba
-24.19436,29.00974,Mokopane,ZA,Africa/Johannesburg
33.72255,-116.37697,Palm Desert,US,America/Los_Angeles
13.51825,99.95469,Damnoen Saduak,TH,Asia/Bangkok
48.07667,8.64409,Trossingen,DE,Europe/Berlin
7.83389,-72.47417,Villa del Rosario,CO,America/Bogota
49.03685,8.70745,Bretten,DE,Europe/Berlin
39.45621,-77.96389,Martinsburg,US,America/New_York
13.44581,101.18445,Phanat Nikhom,TH,Asia/Bangkok
51.44889,5.51978,Tongelre,NL,Europe/Amsterdam
44.27804,-88.27205,Kaukauna,US,America/Chicago
17.54907,82.85749,Elamanchili,IN,Asia/Kolkata
34.8825,128.62667,Sinhyeon,KR,Asia/Seoul
31.78336,35.23388,East Jerusalem,PS,Asia/Hebron
13.70727,9.15013,Mirriah,NE,Africa/Niamey
-22.9,44.53333,Sakaraha,MG,Indian/Antananarivo
-8.99167,125.21972,Maliana,TL,Asia/Dili
53.77166,38.12408,Bogoroditsk,RU,Europe/Moscow
45.99194,29.41824,Artsyz,UA,Europe/Kiev
40.72816,-74.07764,Jersey City,US,America/New_York
19.8173,-97.35992,Teziutlan,MX,America/Mexico_City
42.52787,-70.92866,Peabody,US,America/New_York
45.44694,8.62118,Novara,IT,Europe/Rome
38.10558,-1.86343,Caravaca,ES,Europe/Madrid
55.75556,60.70278,Ozersk,RU,Asia/Yekaterinburg
31.92923,34.86563,Ramla,IL,Asia/Jerusalem
53.53395,33.72798,Zhukovka,RU,Europe/Moscow
42.64031,125.51176,Dongfeng,CN,Asia/Shanghai
48.8222,2.12213,Le Chesnay,FR,Europe/Paris
53.59782,34.33825,Dyat’kovo,RU,Europe/Moscow
14.37395,100.48528,Bang Ban,TH,Asia/Bangkok
27.71809,-82.35176,Sun City Center,US,America/New_York
36.75965,137.36215,Namerikawa,JP,Asia/Tokyo
48.90472,2.2469,La Garenne-Colombes,FR,Europe/Paris
48.90982,2.45012,Bobigny,FR,Europe/Paris
32.50611,120.14278,Jiangyan,CN,Asia/Shanghai
47.83333,59.6,Shalqar,KZ,Asia/Aqtobe
32.9156,-117.14392,Mira Mesa,US,America/Los_Angeles
38.40917,112.73333,Xinzhou,CN,Asia/Shanghai
12.37169,123.62494,Masbate,PH,Asia/Manila
11.15583,42.7125,'Ali Sabieh,DJ,Africa/Djibouti
58.1908,40.17171,Danilov,RU,Europe/Moscow
25.66795,85.83636,Dalsingh Sarai,IN,Asia/Kolkata
37.49223,15.07041,Catania,IT,Europe/Rome
37.74615,-25.66689,Ponta Delgada,PT,Atlantic/Azores
44.43579,26.01649,Sector 6,RO,Europe/Bucharest
24.96334,10.18003,Ghat,LY,Africa/Tripoli
5.4709,100.24529,Batu Feringgi,MY,Asia/Kuala_Lumpur
33.37526,74.3092,Rajaori,IN,Asia/Kolkata
-6.25,38.66667,Mvomero,TZ,Africa/Dar_es_Salaam
26.76628,83.36889,Gorakhpur,IN,Asia/Kolkata
55.1904,30.2049,Vitebsk,BY,Europe/Minsk
56.85836,35.90057,Tver,RU,Europe/Moscow
39.09112,-94.41551,Independence,US,America/Chicago
27.92333,118.53333,Pucheng,CN,Asia/Shanghai
13.48082,-86.58208,Somoto,NI,America/Managua
34.63915,-120.45794,Lompoc,US,America/Los_Angeles
41.27194,123.17306,Liaoyang,CN,Asia/Shanghai
34.14251,-118.25508,Glendale,US,America/Los_Angeles
59.37722,28.19028,Narva,EE,Europe/Tallinn
51.168,7.973,Finnentrop,DE,Europe/Berlin
36.20389,127.08472,Nonsan,KR,Asia/Seoul
41.63976,2.35739,Cardedeu,ES,Europe/Madrid
11.15583,42.7125,'Ali Sabieh,DJ,Africa/Djibouti
9.82564,78.25795,Tiruppuvanam,IN,Asia/Kolkata
53.81667,-3.05,Blackpool,GB,Europe/London
37.65639,126.835,Goyang-si,KR,Asia/Seoul
49.41029,38.15035,Svatove,UA,Europe/Zaporozhye
30.21121,74.4818,Malaut,IN,Asia/Kolkata
10.58806,77.24779,Udumalaippettai,IN,Asia/Kolkata
26.44931,91.61356,Rangia,IN,Asia/Kolkata
14.95472,120.89694,Baliuag,PH,Asia/Manila
14.64056,104.64992,Kantharalak,TH,Asia/Bangkok
-24.19436,29.00974,Mokopane,ZA,Africa/Johannesburg
-27.76952,30.79165,Vryheid,ZA,Africa/Johannesburg
-20.88231,55.4504,Saint-Denis,RE,Indian/Reunion
40.92298,14.30935,Afragola,IT,Europe/Rome
26.2173,-80.22588,North Lauderdale,US,America/New_York
50.56149,4.69889,Gembloux,BE,Europe/Brussels
51.64316,-0.36053,Bushey,GB,Europe/London
